Station1-BinMagazine								Station2-BinMagazine								Station3-BinMagazine								
ComponentType1		ComponentType2		ComponentType11		ComponentType12		ComponentType3		ComponentType4		ComponentType11		ComponentType13		ComponentType5		ComponentType6		ComponentType12		ComponentType14		
Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	Time	OnHand	
0	6																						
		0	3																				
				0	4																		
						0	3																
								0	2														
										0	19												
												0	4										
														0	55								
																0	14						
																		0	11				
																				0	10		
																						0	13
				2	3.75																		
						2	2.8																
				13.1132957859816	3.5																		
						13.1132957859816	2.6																
												14.1132957859816	3.75										
														14.1132957859816	54								
														14.1132957859816	53								
														14.1132957859816	52								
														14.1132957859816	51								
														14.1132957859816	50								
				22	3.25																		
						22	2.4																
												22.2699758625019	3.5										
														22.2699758625019	49								
														22.2699758625019	48								
														22.2699758625019	47								
														22.2699758625019	46								
														22.2699758625019	45								
				33.3360478323647	3																		
						33.3360478323647	2.2																
												34.3360478323647	3.25										
														34.3360478323647	44								
														34.3360478323647	43								
														34.3360478323647	42								
														34.3360478323647	41								
														34.3360478323647	40								
																				35.1132957859816	9.1		
																				43.2699758625019	9		
																				43.2699758625019	8.2		
				44.8125137800823	2.75																		
						44.8125137800823	2																
												45.8125137800823	3										
														45.8125137800823	39								
														45.8125137800823	38								
														45.8125137800823	37								
														45.8125137800823	36								
														45.8125137800823	35								
				54.2333658785885	2.5																		
						54.2333658785885	1.8																
												55.2333658785885	2.75										
														55.2333658785885	34								
														55.2333658785885	33								
														55.2333658785885	32								
														55.2333658785885	31								
														55.2333658785885	30								
																				55.3360478323647	8		
																				55.3360478323647	7.3		
				63.8049135476868	2.25																		
						63.8049135476868	1.6																
												65.8125137800823	2.5										
														65.8125137800823	29								
														65.8125137800823	28								
														65.8125137800823	27								
														65.8125137800823	26								
														65.8125137800823	25								
																				66.8125137800823	7		
																				66.8125137800823	6.4		
				75.3227169921447	2																		
						75.3227169921447	1.4																
																				76.2333658785885	6		
																				76.2333658785885	5.5		
												76.3227169921447	2.25										
														76.3227169921447	24								
														76.3227169921447	23								
														76.3227169921447	22								
														76.3227169921447	21								
														76.3227169921447	20								
				85.7442819976273	1.75																		
						85.7442819976273	1.2																
												86.7442819976273	2										
														86.7442819976273	19								
														86.7442819976273	18								
														86.7442819976273	17								
														86.7442819976273	16								
														86.7442819976273	15								
																				86.8125137800823	5		
																				86.8125137800823	4.6		
				97.0016407129218	1.5																		
						97.0016407129218	1																
																				97.3227169921447	4		
																				97.3227169921447	3.7		
												98.0016407129218	1.75										
														98.0016407129218	14								
														98.0016407129218	13								
														98.0016407129218	12								
														98.0016407129218	11								
														98.0016407129218	10								
																				107.744281997627	3		
																				107.744281997627	2.8		
